,Time,RSSI,File Name
50,11-07-2023 14:52:13:579,-35,0m
51,11-07-2023 14:52:15:580,-35,0m
52,11-07-2023 14:52:17:579,-33,0m
53,11-07-2023 14:52:19:580,-32,0m
54,11-07-2023 14:52:21:580,-32,0m
55,11-07-2023 14:52:23:581,-30,0m
56,11-07-2023 14:52:25:580,-30,0m
57,11-07-2023 14:52:27:581,-30,0m
58,11-07-2023 14:52:29:580,-31,0m
59,11-07-2023 14:52:31:582,-32,0m
60,11-07-2023 14:52:33:582,-33,0m
61,11-07-2023 14:52:35:582,-33,0m
62,11-07-2023 14:52:37:583,-33,0m
63,11-07-2023 14:52:39:583,-38,0m
64,11-07-2023 14:52:41:583,-38,0m
65,11-07-2023 14:52:43:583,-38,0m
66,11-07-2023 14:52:45:583,-40,0m
67,11-07-2023 14:52:47:583,-40,0m
68,11-07-2023 14:52:49:583,-40,0m
69,11-07-2023 14:52:51:584,-40,0m
70,11-07-2023 14:52:53:584,-36,0m
71,11-07-2023 14:52:55:584,-36,0m
72,11-07-2023 14:52:57:584,-36,0m
73,11-07-2023 14:52:59:584,-34,0m
74,11-07-2023 14:53:01:585,-33,0m
75,11-07-2023 14:53:03:586,-33,0m
76,11-07-2023 14:53:05:586,-33,0m
77,11-07-2023 14:53:07:587,-33,0m
78,11-07-2023 14:53:09:588,-31,0m
79,11-07-2023 14:53:11:588,-31,0m
80,11-07-2023 14:53:13:587,-30,0m
81,11-07-2023 14:53:15:589,-30,0m
82,11-07-2023 14:53:17:589,-30,0m
83,11-07-2023 14:53:19:588,-30,0m
84,11-07-2023 14:53:21:589,-31,0m
85,11-07-2023 14:53:23:589,-33,0m
86,11-07-2023 14:53:25:590,-34,0m
87,11-07-2023 14:53:27:593,-34,0m
88,11-07-2023 14:53:29:590,-34,0m
89,11-07-2023 14:53:31:591,-36,0m
90,11-07-2023 14:53:33:591,-36,0m
91,11-07-2023 14:53:35:591,-34,0m
92,11-07-2023 14:53:37:590,-35,0m
93,11-07-2023 14:53:39:592,-35,0m
94,11-07-2023 14:53:41:593,-36,0m
95,11-07-2023 14:53:43:593,-34,0m
96,11-07-2023 14:53:45:594,-33,0m
0,Mac Address ,28:DE:65:6E:4E:16,0m_1
1,Time, RSSI,0m_1
2,11-07-2023 14:50:35:905,-32,0m_1
3,11-07-2023 14:50:37:906,-32,0m_1
4,11-07-2023 14:50:39:905,-30,0m_1
5,11-07-2023 14:50:41:906,-31,0m_1
6,11-07-2023 14:50:43:907,-32,0m_1
7,11-07-2023 14:50:45:906,-32,0m_1
8,11-07-2023 14:50:47:910,-33,0m_1
9,11-07-2023 14:50:49:908,-33,0m_1
10,11-07-2023 14:50:51:908,-33,0m_1
11,11-07-2023 14:50:53:908,-33,0m_1
12,11-07-2023 14:50:55:911,-34,0m_1
13,11-07-2023 14:50:57:909,-34,0m_1
14,11-07-2023 14:50:59:909,-32,0m_1
15,11-07-2023 14:51:01:910,-33,0m_1
16,11-07-2023 14:51:03:910,-33,0m_1
17,11-07-2023 14:51:05:911,-34,0m_1
18,11-07-2023 14:51:07:912,-34,0m_1
19,11-07-2023 14:51:09:912,-34,0m_1
20,11-07-2023 14:51:11:913,-34,0m_1
21,11-07-2023 14:51:13:914,-35,0m_1
22,11-07-2023 14:51:15:916,-35,0m_1
23,11-07-2023 14:51:17:915,-33,0m_1
24,11-07-2023 14:51:19:913,-31,0m_1
25,11-07-2023 14:51:21:914,-32,0m_1
26,11-07-2023 14:51:23:914,-33,0m_1
27,11-07-2023 14:51:25:916,-33,0m_1
28,11-07-2023 14:51:27:916,-33,0m_1
29,11-07-2023 14:51:29:916,-34,0m_1
30,11-07-2023 14:51:31:916,-34,0m_1
31,11-07-2023 14:51:33:916,-32,0m_1
32,11-07-2023 14:51:35:917,-32,0m_1
33,11-07-2023 14:51:37:918,-32,0m_1
34,11-07-2023 14:51:39:917,-31,0m_1
35,11-07-2023 14:51:41:918,-28,0m_1
36,11-07-2023 14:51:43:919,-28,0m_1
37,11-07-2023 14:51:45:917,-28,0m_1
38,11-07-2023 14:51:47:918,-28,0m_1
39,11-07-2023 14:51:49:917,-29,0m_1
40,11-07-2023 14:51:51:918,-29,0m_1
41,11-07-2023 14:51:53:919,-29,0m_1
42,11-07-2023 14:51:55:917,-28,0m_1
43,11-07-2023 14:51:57:919,-31,0m_1
44,11-07-2023 14:51:59:918,-32,0m_1
45,11-07-2023 14:52:01:918,-32,0m_1
46,11-07-2023 14:52:03:919,-33,0m_1
47,11-07-2023 14:52:05:918,-35,0m_1
48,11-07-2023 14:52:07:919,-34,0m_1
49,11-07-2023 14:52:09:919,-34,0m_1
50,11-07-2023 14:52:11:921,-36,0m_1
51,11-07-2023 14:52:13:920,-36,0m_1
52,11-07-2023 14:52:15:921,-35,0m_1
53,11-07-2023 14:52:17:921,-35,0m_1
54,11-07-2023 14:52:19:921,-36,0m_1
55,11-07-2023 14:52:21:923,-35,0m_1
56,11-07-2023 14:52:23:922,-34,0m_1
57,11-07-2023 14:52:25:923,-34,0m_1
58,11-07-2023 14:52:27:923,-34,0m_1
59,11-07-2023 14:52:29:924,-34,0m_1
60,11-07-2023 14:52:31:924,-35,0m_1
61,11-07-2023 14:52:33:924,-35,0m_1
62,11-07-2023 14:52:35:924,-34,0m_1
63,11-07-2023 14:52:37:924,-33,0m_1
64,11-07-2023 14:52:39:925,-33,0m_1
65,11-07-2023 14:52:41:926,-33,0m_1
66,11-07-2023 14:52:43:925,-32,0m_1
67,11-07-2023 14:52:45:926,-32,0m_1
68,11-07-2023 14:52:47:925,-34,0m_1
69,11-07-2023 14:52:49:926,-33,0m_1
70,11-07-2023 14:52:51:927,-32,0m_1
71,11-07-2023 14:52:53:925,-35,0m_1
72,11-07-2023 14:52:55:926,-35,0m_1
73,11-07-2023 14:52:57:927,-32,0m_1
74,11-07-2023 14:52:59:927,-31,0m_1
75,11-07-2023 14:53:01:928,-32,0m_1
76,11-07-2023 14:53:03:930,-34,0m_1
77,11-07-2023 14:53:05:928,-35,0m_1
